;(p1(n), p2(n), p3(n));d(n)
0;[1.0, 0.0, 0.0];1.0
1;[0.128, 0.217, 0.655];0.1743
2;[0.01638, 0.40762, 0.57599];0.03271
3;[0.0021, 0.38138, 0.61652];0.00992
4;[0.00027, 0.39377, 0.60596];0.00274
5;[3e-05, 0.39046, 0.60951];0.00084
6;[0.0, 0.39156, 0.60844];0.00026
7;[0.0, 0.39122, 0.60878];8e-05
8;[0.0, 0.39133, 0.60867];3e-05
9;[0.0, 0.3913, 0.6087];0.0
