;(p1(n), p2(n), p3(n));d(n)
0;[1.0, 0.0, 0.0];1.0
1;[0.128, 0.217, 0.655];0.1743
2;[0.01638, 0.40762, 0.57599];0.00992
3;[0.0021, 0.38138, 0.61652];0.00084
4;[0.00027, 0.39377, 0.60596];8e-05
5;[3e-05, 0.39046, 0.60951];0.0
