;(p1(n), p2(n), p3(n));d(n)
0;[0.0, 0.0, 1.0];0.3913
1;[0.0, 0.513, 0.487];0.1217
2;[0.0, 0.35346, 0.64654];0.01177
3;[0.0, 0.40307, 0.59693];0.00114
4;[0.0, 0.38764, 0.61236];0.00011
5;[0.0, 0.39244, 0.60756];1e-05
6;[0.0, 0.39095, 0.60905];1e-05
